"Dendritic cell"	"Natural killer (NK) cell"	"CD4+ T cell"	"B cell"	"Monocyte:CD16-"	"Natural killer T (NKT) cell"	"Naive CD4+ T cell"	"Monocyte:CD16+"	"Neutrophil"	"Naive CD8+ T cell"	"Regulatory T (Treg) cell"	"Plasma cell"	"Megakaryocyte"	"Plasmacytoid dendritic cell"	"MKI67+ progenitor cell"	"Exhausted CD8+ T cell"	"Macrophages"	"Endothelial cell"	"Mast cell"	"Fibroblast"	"keratinocyte"	"Basal cell"	"Myofibroblast"
"BTG1"	18.5880296174414	5.50415407854985	7.52809846388703	9.48903960276129	5.00637490151135	6.43552684161449	6.40409018110139	5.53067943729422	3.35816339784388	6.75612353567625	6.21532846715328	3.83962264150943	4.31953696625532	3.76253687315634	4.75848563968668	7.91666666666667	5.60749102103643	5.19942542494613	1.23673469387755	3.12168874172185	5.97561311656104	5.2738740732544	4.57510999371465
"IKZF3"	0.25668449197861	0.506117824773414	0.373533059822536	0.89354487101853	0.00974142253420242	0.593779139469828	0.214364913145251	0.0101765938341814	0.055526691778153	0.381256656017039	0.477189781021898	0.820754716981132	0.436824287430381	0.0914454277286136	0.842036553524804	0.5	0.0851718830169318	0.0304045966004309	0.0122448979591837	0.0198675496688742	0.0742628823367319	0.0190328648887905	0.0339409176618479
"KRT14"	0.289592760180996	0.00490936555891239	0.0019082148649938	0.00169553106455129	0.0146121338013036	0.000732649527108032	0.00418873968214858	0	0.0368879075204572	0	0.010036496350365	0.169811320754717	0.553783990389866	0.0457227138643068	13.4268929503916	0	1.09594663930221	8.7337802250419	0.436734693877551	6.35623620309051	3.51818682832736	190.8350116189	4.49277184160905
"KRT1"	0.103044014808721	0.006797583081571	0.0924530102089495	0.00569214000242219	0.0056586204426617	0.00586119621686426	0.00997905630158926	0.000299311583358276	0.00896220288349136	0.00319488817891374	0.0118613138686131	0.0188679245283019	0.16304466528339	0.028023598820059	2.44255874673629	0.0833333333333333	0.40687532067727	7.15202298300215	0.448979591836735	3.39569536423841	2.86318545053734	98.501825827155	1.35323695788812
"KRT10"	1.37618264088852	0.806117824773414	0.909264383169545	1.05474143151266	0.611990545089893	0.855734647662182	0.801527658001725	0.766237653397187	0.383556306013768	1.02165424210153	0.730839416058394	1.9811320754717	0.738342251829202	1.34808259587021	5.37597911227154	0.871212121212121	1.32529502308876	15.6212592769931	0.783673469387755	8.08636865342163	5.86676770460182	195.437313267677	4.36926461345066
"KRT5"	0.0662278897573015	0.00196374622356495	0.000572464459498139	0.000363328085260991	0.00508559558770862	0.000333022512321833	0.00209436984107429	0.000598623166716552	0.0110403948564749	0.00070997515086972	0.00364963503649635	0.00943396226415094	0.155618652397073	0.573746312684366	4.04830287206266	0	0.334017444843509	2.41752453914293	0.179591836734694	1.83995584988962	0.889363461008542	55.5626867323227	1.48900062853551
"LY6D"	0.0575894693541752	0.000830815709969789	0.00047705371624845	0.000121109361753664	0.00315163670224196	0	0.000862387581618825	0	0.00441615794258995	0	0.00182481751824818	0	0.075024571366168	0.00442477876106195	1.89164490861619	0	0.144689584402258	2.91333492937515	0.073469387755102	1.87969094922737	1.26439790575916	46.3942680092951	0.579824010056568
"FABP5"	6.66330728095434	0.106948640483384	0.053239194733327	0.114327237495458	0.218465725950863	0.119355268416145	0.0365898731058273	0.173900029931158	0.0886478763475776	0.110401135960241	0.0967153284671533	0.924528301886792	0.417494812711587	0.824483775811209	7.41514360313316	0.0757575757575758	4.22986146741919	7.95187933923869	0.151020408163265	3.80629139072848	7.44323505097823	84.0449264136328	1.57228158390949
"KRT6A"	0.300699300699301	0.000755287009063444	0.000572464459498139	0.000121109361753664	0.00458419883962467	6.66045024643666e-05	0.0018479733891832	0	0.00824782439277828	0.00035498757543486	0.00273722627737226	0.0377358490566038	0.174292890684722	0.0147492625368732	0.93733681462141	0	0.424833247819395	2.56356236533397	0.13469387755102	2.25055187637969	12.3689721686415	71.2321566891668	1.24732872407291
"S100A2"	0.49917729329494	0.00317220543806647	0.00333937601373915	0.00145331234104396	0.0078790917556049	0.00412947915279073	0.00147837871134656	0.00269380425022448	0.0118197168463437	0.00070997515086972	0.00364963503649635	0.00943396226415094	0.27836627716501	0.0162241887905605	3.22715404699739	0	0.527449974345818	2.31146756045008	0.187755102040816	2.00248344370861	6.72788647010196	51.5492973331858	1.53771213073539
"SFN"	0.227478403948992	0.00120845921450151	0.00181280412174411	0.0013322029792903	0.0046558269464938	0.000865858532036766	0.0016015769372921	0.00359173900029931	0.00805299389531108	0	0.00273722627737226	0.0566037735849057	0.130173637654254	0.0132743362831858	1.72454308093995	0	0.299640841457158	2.52453914292554	0.138775510204082	1.73371964679912	6.29402039129237	46.6280845413301	1.09396605908234
"KRT16"	0.655080213903743	0.00158610271903323	0.00104951817574659	0.000484437447014654	0.00522885180144689	6.66045024643666e-05	0.0018479733891832	0	0.00558514092739317	0	0.00547445255474453	0.0660377358490566	0.30610461941684	0.0103244837758112	0.567885117493473	0.00757575757575758	0.78450487429451	2.65573378022504	0.261224489795918	2.4848233995585	15.972719757509	72.1259267456014	1.29446888749214
"S100A7"	5.23220896750308	0.00521148036253776	0.00181280412174411	0.00108998425578297	0.0242103001217678	0.000333022512321833	0.00652950597511396	0	0.0331211845694246	0.00141995030173944	0.0182481751824818	0.169811320754717	1.59779403734848	0.0471976401179941	5.84725848563969	0.0151515151515152	3.55053873781426	16.6650706248504	0.76734693877551	8.01434878587196	155.833011848994	281.288148721921	6.01854179761157
"DMKN"	1.02509255450432	0.0270392749244713	0.00582005533823108	0.00472326510839288	0.00358140534345677	0.0183162381777008	0.00295675742269311	0.0011972463334331	0.00623457591895051	0.00248491302804402	0.00273722627737226	0.0188679245283019	0.280441192530305	0.00147492625368732	1.47519582245431	0.0151515151515152	0.596203181118522	4.49581039023222	0.0816326530612245	1.61423841059603	17.934279415817	54.7021135332522	1.21338780641106
"DSP"	0.107568901686549	0.00128398791540786	0.00028623222974907	0.0584958217270195	0.00265023995415801	0.0001998135073931	0.000615991129727732	0.000299311583358276	0.00467593193921288	0	0	0.0188679245283019	0.0541662116413673	0.00294985250737463	1.34986945169713	0.00757575757575758	0.120061570035916	2.02465884606177	0.0244897959183673	0.913907284768212	1.81992284375861	22.7604293460219	0.665619107479573
"SERPINB4"	0.191279308926368	0.000528700906344411	0.000667875202747829	0.000242218723507327	0.00236372752668147	0	0.00123198225945546	0	0.00487076243668009	0	0.000912408759124088	0.0283018867924528	0.0867096210549307	0.00442477876106195	1.07832898172324	0	0.158542842483325	1.34737850131673	0.102040816326531	1.18543046357616	10.2576467346376	32.3808786101582	0.358265241986172
"KRTDAP"	2.90929658576717	0.00219033232628399	0.00114492891899628	0.000605546808768318	0.0090967695723802	0.000266418009857466	0.00209436984107429	0	0.0116248863488765	0.00070997515086972	0.00638686131386861	0.0849056603773585	0.714098503876816	0.0147492625368732	0.89556135770235	0	1.74551051821447	9.82906392147474	0.191836734693878	3.50469094922737	85.9603196472858	130.555936704659	2.84098051539912
"CALML5"	0.74454956807898	0.000906344410876133	0.00038164297299876	0.000484437447014654	0.00257861184728888	0.0001998135073931	0.000492792903782186	0	0.00370177945187687	0	0.00182481751824818	0.00943396226415094	0.231844490553675	0.00737463126843658	0.120104438642298	0.00757575757575758	0.506413545407902	2.54847977016998	0.0857142857142857	0.812913907284768	11.5056489391017	35.8960938364501	0.623507228158391
"LGALS7B"	0.0226244343891403	0.000302114803625378	0.00019082148649938	0.000121109361753664	0.000931165389298761	0	0.000246396451891093	0	0.00194830497467204	0	0.000912408759124088	0	0.0435732226711805	0.00147492625368732	0.801566579634465	0	0.0933812211390457	1.66531003112282	0.102040816326531	0.629690949227373	2.52714246348856	26.2833905056988	0.316467630421119
