"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PPP1R18",4.79933919000135e-41,0.887240263176704,0.708,0.257,1.35288572426948e-36,"17","PPP1R18"
"CSTB",5.66751342428653e-41,1.02921675062139,0.83,0.374,1.59761535917213e-36,"17","CSTB"
"PSMB81",8.18362162185487e-41,1.00054944791534,0.86,0.434,2.30688109898467e-36,"17","PSMB8"
"WDR1",1.55126379981384e-40,0.741242371278295,0.655,0.216,4.37285752529524e-36,"17","WDR1"
"OGDH",2.09287904325869e-40,0.4433459221826,0.38,0.084,5.89961673504191e-36,"17","OGDH"
"ATP5C1",2.37305826132817e-40,0.809714345526925,0.807,0.328,6.68941393285798e-36,"17","ATP5C1"
"NDUFS2",2.64862623235818e-40,0.701271047197993,0.544,0.161,7.46621248639448e-36,"17","NDUFS2"
"COA6",4.13834689283426e-40,0.497477265101747,0.392,0.09,1.16655860562105e-35,"17","COA6"
"NOP10",4.83878638282401e-40,0.7830126557811,0.754,0.283,1.36400549345426e-35,"17","NOP10"
"TTN2",7.40240751776898e-40,1.05288812839934,0.456,0.123,2.0866646551839e-35,"17","TTN"
"TMEM245",7.70977578082887e-40,0.547516227624846,0.398,0.094,2.17330869485785e-35,"17","TMEM245"
"POLR1D",2.49238018108707e-39,0.845429321885288,0.86,0.406,7.02577049246635e-35,"17","POLR1D"
"STK26",3.50518964074889e-39,0.748955357055859,0.515,0.147,9.88077907830704e-35,"17","STK26"
"NEK7",3.64641379013566e-39,0.504459072573363,0.421,0.102,1.02788758330134e-34,"17","NEK7"
"MXD4",4.59256916285196e-39,0.783591266165059,0.637,0.212,1.29459932131634e-34,"17","MXD4"
"DECR1",5.73457872873934e-39,0.67732343890327,0.567,0.172,1.61652039784433e-34,"17","DECR1"
"H2AFV",6.46288633658612e-39,0.815662163869128,0.836,0.364,1.82182302942026e-34,"17","H2AFV"
"E2F3",6.57734981476586e-39,0.446740393551296,0.304,0.06,1.85408913928435e-34,"17","E2F3"
"NAP1L41",8.85610466249073e-39,0.9407943495262,0.795,0.354,2.49644734330951e-34,"17","NAP1L4"
"IBTK",2.20217272123458e-38,0.544898769057034,0.421,0.105,6.20770468388816e-34,"17","IBTK"
"LGALS91",4.73933988624079e-38,0.495235143139797,0.333,0.072,1.33597252053242e-33,"17","LGALS9"
"PPP1R12B",8.89239600230492e-38,0.428994687482561,0.24,0.041,2.50667750908973e-33,"17","PPP1R12B"
"NUDT5",9.7437876119832e-38,0.582125373549,0.468,0.127,2.74667628994194e-33,"17","NUDT5"
"FYB4",1.10885777849053e-37,0.974716728187528,0.959,0.642,3.12575919178697e-33,"17","FYB"
"PRDX3",1.39393143345857e-37,0.437976511918786,0.322,0.068,3.92935331777636e-33,"17","PRDX3"
"TCF75",2.06747854306547e-37,1.12869059675349,0.86,0.446,5.82801526504726e-33,"17","TCF7"
"LDHB4",4.0011633688733e-37,0.915987519819589,0.977,0.628,1.12788794205169e-32,"17","LDHB"
"ITGAE",8.44937229856297e-37,0.678634180239271,0.503,0.147,2.38179355724192e-32,"17","ITGAE"
"ARHGAP25",8.82184010409191e-37,0.692162111653936,0.591,0.188,2.48678850694247e-32,"17","ARHGAP25"
"OGT1",1.15911105380175e-36,0.836318373155758,0.719,0.274,3.26741814956177e-32,"17","OGT"
"SUB1",1.58532215152597e-36,1.04530721705464,0.93,0.669,4.46886461293655e-32,"17","SUB1"
"DYNLL11",1.80377321373304e-36,0.977916555438839,0.766,0.343,5.08465631219206e-32,"17","DYNLL1"
"GAPDH2",2.82133077315366e-36,1.12466162139768,0.953,0.765,7.95304931644284e-32,"17","GAPDH"
"ARPC1B1",2.93648904772394e-36,0.971691240661971,0.947,0.642,8.277668976629e-32,"17","ARPC1B"
"WIPF1",4.02787150243328e-36,0.8710056208873,0.848,0.4,1.13541669782092e-31,"17","WIPF1"
"TRIM69",4.77752991580562e-36,0.39002321004097,0.322,0.069,1.34673790796645e-31,"17","TRIM69"
"LRMP",5.62521617878516e-36,0.496206054128499,0.398,0.098,1.58569218863775e-31,"17","LRMP"
