"Natural killer (NK) cell"	"CD4+ T cell"	"Monocyte:CD16+"	"Monocyte:CD16-"	"Naive CD4+ T cell"	"Natural killer T (NKT) cell"	"Neutrophil"	"Megakaryocyte"	"B cell"	"Dendritic cell"	"Regulatory T (Treg) cell"	"Naive CD8+ T cell"	"Plasmacytoid dendritic cell"	"Plasma cell"	"Exhausted CD8+ T cell"	"MKI67+ progenitor cell"	"Endothelial cell"	"Macrophages"	"Mast cell"	"keratinocyte"	"Basal cell"	"Myofibroblast"	"Fibroblast"
"LGALS7"	0	0	0	0.000145751348199971	0	0	0.000236085699108776	0.057684384013185	0	0.00459866220735786	0.000586166471277843	0	0	0	0	0.857410881801126	0.540367705835332	0.306010928961749	0.115789473684211	0.599423631123919	46.4738577484692	0.517782426778243	0.456
"KRT5"	0.000220906600689229	0	0	0.000145751348199971	0.000146166776291749	0.000143389733295096	0.00159357846898424	0.0865265760197775	0	0.0376254180602007	0.000586166471277843	0	0.410971223021583	0.0115384615384615	0	8.21200750469043	0.742605915267786	0.540983606557377	0.178947368421053	0.453089977585655	35.267545925577	1.73744769874477	0.607333333333333
"AC004086.1"	0.00030926924096492	0	0	0.000728756740999854	0	0	0.00129847134509827	1.38401318500206	0	0.271739130434783	0.00117233294255569	0	0	0	0	2.19887429643527	17.5787370103917	7.06830601092896	2.16842105263158	0.170989433237272	34.2562411681583	13.2228033472803	13.548
"MT1X"	0.158655120615004	0.179555162763294	0.121248213434969	0.220230287130156	0.121976174815464	0.198212407991588	0.114206456943871	1.35063864853729	0.0711919123269051	0.392140468227425	0.188159437280188	0.168038277511962	0.142985611510791	0.261538461538462	0.176706827309237	6.39399624765478	2.86970423661071	2.81420765027322	6.54736842105263	0.841178354146654	31.8502119642016	12.7322175732218	2.774
"KRTDAP"	4.41813201378457e-05	0	0	0.00080163241509984	0	0	0.000767278522103524	0.763906056860321	0	0.959030100334448	0	0	0	0	0	0.412757973733583	1.77378097521982	1.41256830601093	0.231578947368421	121.284021773935	81.045219029675	1.4173640167364	0.782
"LGALS7B"	0	0	0	0	0	0	0.000177064274331582	0.0465595385249279	0	0.0100334448160535	0	0	0	0	0	0.440900562851782	0.282174260591527	0.177595628415301	0.105263157894737	2.35254562920269	22.3871879415921	0.268828451882845	0.226
"RACK1"	0.000353450561102766	0	0	0.00327940533449934	0	0	0.00466269255739834	1.7663782447466	0	1.80727424749164	0.00117233294255569	0	0	0	0	2.30581613508443	19.3149480415667	7.14207650273224	1.83157894736842	1.77457572846622	32.7630711257654	10.5878661087866	12.346
"DSP"	0.000353450561102766	0.000147297098247165	0	0.000874508089199825	0.000146166776291749	0.000286779466590192	0.00106238564598949	0.042439225381129	0.0591283663240166	0.0275919732441472	0	0	0.00179856115107914	0.00384615384615385	0	1.0281425891182	0.932054356514788	0.314207650273224	0.0315789473684211	0.793147614473263	23.5708902496467	0.419456066945607	0.353333333333333
"LY6D"	0	0	0	0	0	0	0	0.030902348578492	0	0.0146321070234114	0	0	0	0	0	0.647279549718574	0.232613908872902	0.155737704918033	0.0526315789473684	0.659942363112392	21.1822892133773	0.285564853556485	0.196666666666667
"S100A2"	0.00220906600689229	0.00169391662984239	0.00404954740352549	0.00327940533449934	0	0.00262881177707676	0.00306911408841409	0.254223320972394	0.000424772746580579	0.466555183946488	0	0.000191387559808612	0.00809352517985612	0	0	1.39024390243902	0.398081534772182	1.63387978142077	0.105263157894737	7.82164585334614	18.2383419689119	1.1265690376569	0.178
"SYPL1"	0.136652823186357	0.206805125939019	0.307527393997142	0.315187290482437	0.168311042899949	0.149555491826785	0.15440004721714	4.22290894107952	0.555008070682185	0.903428093645485	0.16295427901524	0.169569377990431	0.489208633093525	0.180769230769231	0.196787148594378	3.45966228893058	58.0911270983213	25.9234972677596	6.25263157894737	0.743195645212936	48.3424399434762	37.2876569037657	42.8926666666667
"S100A14"	0	0	0	0.000291502696399942	0	0	0.000295107123885971	0.0436753193242686	0	0.0434782608695652	0.000586166471277843	0	0	0	0	0.774859287054409	0.264588329336531	0.23224043715847	0.0842105263157895	1.40089657380724	17.6429580781912	0.364016736401674	0.21
"HSPB1"	0.20508968807988	0.392546766828693	0.412815626488804	0.129791575572074	0.382883870496236	0.236688653092439	0.0552440535914537	0.764318088174701	0.252230056919548	1.81103678929766	0.331184056271981	0.536459330143541	0.445143884892086	0.115384615384615	0.353413654618474	1.81050656660413	21.1454836131095	5.96174863387978	0.757894736842105	14.1998078770413	28.0720678285445	19.0533472803347	10.7273333333333
"H3-3B"	8.83626402756914e-05	0	0	0.00320652966039936	0	0	0.00395443546007201	1.55706633704162	0	0.223244147157191	0	0	0	0	0	1.51031894934334	17.8257394084732	7.27322404371585	6.29473684210526	0.119756644252321	21.580310880829	9.59100418410042	11.172
