"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"36",0,1.43449652706321,0.804,0.101,0,"11","IGHM"
"37",0,1.41127016141245,0.926,0.133,0,"11","CD79A"
"38",0,1.39000988582884,0.743,0.085,0,"11","IGHD"
"39",0,1.26183946560541,0.817,0.098,0,"11","BANK1"
"40",0,1.21347768362313,0.957,0.321,0,"11","HLA-DRB1"
"41",0,2.05173905444595,0.551,0.027,0,"12","RTKN2"
"42",0,1.0480570923928,0.397,0.062,0,"12","IKZF2"
"43",0,1.02116991759852,0.39,0.092,0,"12","TIGIT"
"44",0,1.01312407408309,0.279,0.023,0,"12","IL2RA"
"45",0,0.92664541826103,0.26,0.002,0,"12","FOXP3"
"46",0,0.923490744673764,0.321,0.065,0,"12","STAM"
"47",0,0.889496730661474,0.254,0.021,0,"12","CTLA4"
"48",0,0.88259980916844,0.344,0.091,0,"12","TBC1D4"
"49",1.28414863489608e-266,0.917704011998214,0.329,0.119,3.61988658690857e-262,"12","TTN"
