"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ATP5A1",4.35107608558217e-39,0.377045147398526,0.84,0.551,1.22652483776476e-34,"16","ATP5A1"
"RPL13A1",9.30633022746341e-39,0.34807013778267,1,0.991,2.62336142781966e-34,"16","RPL13A"
"CYCS2",5.85959621080555e-38,0.32724425453755,0.782,0.464,1.65176157586398e-33,"16","CYCS"
"ATP5J1",8.77217883028121e-38,0.333610976422193,0.827,0.522,2.47278949046797e-33,"16","ATP5J"
"ATP5G31",3.08603769370901e-37,0.354591878502341,0.852,0.586,8.69923165479632e-33,"16","ATP5G3"
"NDUFA42",6.53405382309294e-37,0.331980311269211,0.919,0.732,1.84188443219167e-32,"16","NDUFA4"
"UFC11",9.35903747343028e-37,0.308058566114268,0.818,0.498,2.63821907338526e-32,"16","UFC1"
"SLC25A5",1.34698981805238e-35,0.376582702151208,0.894,0.69,3.79702959810785e-31,"16","SLC25A5"
"SLC25A31",5.97828900993779e-35,0.355459605577222,0.919,0.746,1.68521988901136e-30,"16","SLC25A3"
"YBX12",3.04031019056905e-34,0.311058099378656,0.961,0.901,8.57033039619508e-30,"16","YBX1"
"PAK1",5.48122311982256e-34,0.3298591035247,0.751,0.449,1.54510198524678e-29,"16","PAK1"
"SUB11",2.24529332286116e-33,0.330280594257224,0.936,0.788,6.32925734781333e-29,"16","SUB1"
"RPL313",2.29967134339485e-33,0.305513189890746,0.98,0.922,6.48254354989575e-29,"16","RPL31"
"DBI3",2.87033553354338e-32,0.377554203949973,0.887,0.662,8.09118883550543e-28,"16","DBI"
"MAP3K82",5.5415114604228e-32,0.310046071048228,0.711,0.426,1.56209666557858e-27,"16","MAP3K8"
"LDHA2",1.12726192470717e-31,0.307076225548489,0.861,0.589,3.17763863955705e-27,"16","LDHA"
"SNRPD2",1.28793672031728e-31,0.313102262925705,0.891,0.641,3.63056482090238e-27,"16","SNRPD2"
"GNAS2",7.74164788319567e-29,0.310261736864221,0.936,0.808,2.18229312179403e-24,"16","GNAS"
"EIF3F",5.79910473029093e-27,0.306978294467623,0.906,0.72,1.63470963242171e-22,"16","EIF3F"
"SAMHD11",6.47883853267068e-27,0.33686715204844,0.924,0.808,1.82631979397454e-22,"16","SAMHD1"
"COX6C1",2.76065864139194e-24,0.300745976820797,0.914,0.738,7.78202064421974e-20,"16","COX6C"
"GNLY1",1.11952070203693e-22,0.487703889441583,0.449,0.272,3.15581690697191e-18,"16","GNLY"
"S100A102",1.36692193022607e-21,0.325405879895114,0.985,0.931,3.85321622911428e-17,"16","S100A10"
"IGHA1",0,8.0678799336367,0.76,0.068,0,"17","IGHA1"
"JCHAIN1",0,6.74916838361817,0.869,0.045,0,"17","JCHAIN"
"IGHG1",0,5.73311605007119,0.342,0.012,0,"17","IGHG1"
"IGHG3",0,5.33336034919817,0.262,0.013,0,"17","IGHG3"
"IGHG4",0,4.65018469964954,0.221,0.007,0,"17","IGHG4"
"MZB11",0,4.16269723647931,0.798,0.028,0,"17","MZB1"
"IGHA2",0,3.98200539547874,0.369,0.003,0,"17","IGHA2"
"TNFRSF17",0,2.5056220604953,0.71,0.004,0,"17","TNFRSF17"
"AL928768.3",0,2.38195771001255,0.514,0.005,0,"17","AL928768.3"
"DERL31",0,2.29252970784046,0.73,0.019,0,"17","DERL3"
"CD79A1",0,2.28172704538132,0.765,0.055,0,"17","CD79A"
"ITM2C1",0,2.23267328464371,0.743,0.075,0,"17","ITM2C"
"FKBP11",0,2.13306801779286,0.732,0.084,0,"17","FKBP11"
"CD271",0,1.93259024978924,0.705,0.067,0,"17","CD27"
"CD38",0,1.80353204359227,0.645,0.05,0,"17","CD38"
"TXNDC5",0,1.34887643752755,0.582,0.01,0,"17","TXNDC5"
"SEL1L32",0,1.27900786504866,0.653,0.063,0,"17","SEL1L3"
"FAM46C",0,1.25849461724641,0.593,0.038,0,"17","FAM46C"
"TNFRSF13B",0,1.15807896678319,0.601,0.006,0,"17","TNFRSF13B"
"POU2AF11",0,1.08856900306636,0.604,0.009,0,"17","POU2AF1"
"KIAA01251",0,1.06160980169122,0.328,0.015,0,"17","KIAA0125"
"GNG72",0,1.02975501782496,0.585,0.061,0,"17","GNG7"
"COBLL12",0,1.02521562724014,0.511,0.028,0,"17","COBLL1"
"TPD521",0,0.938827195373225,0.574,0.049,0,"17","TPD52"
"AQP3",0,0.899508554078112,0.522,0.038,0,"17","AQP3"
"RP5-887A10.1",0,0.887679060046376,0.352,0.007,0,"17","RP5-887A10.1"
"GLCCI1",0,0.873447444356321,0.495,0.044,0,"17","GLCCI1"
"ZBP1",0,0.798690885507723,0.525,0.049,0,"17","ZBP1"
"TMEM1561",0,0.785476768120115,0.5,0.042,0,"17","TMEM156"
"HRASLS2",0,0.77972854433622,0.391,0.002,0,"17","HRASLS2"
"SPATS2",0,0.770631898551021,0.525,0.053,0,"17","SPATS2"
"CPNE51",0,0.759640694331083,0.519,0.049,0,"17","CPNE5"
"MANEA",0,0.73533126907276,0.511,0.054,0,"17","MANEA"
"FCRL51",0,0.68194265698015,0.423,0.009,0,"17","FCRL5"
"NT5DC2",0,0.557800266433023,0.404,0.03,0,"17","NT5DC2"
"DENND5B",0,0.493577053223938,0.377,0.017,0,"17","DENND5B"
"SSPN",0,0.486726699840891,0.287,0.005,0,"17","SSPN"
"ABCB9",0,0.465654729561188,0.309,0.009,0,"17","ABCB9"
"CCR10",0,0.456432369763314,0.281,0.009,0,"17","CCR10"
"IFNG-AS1",0,0.404514227336897,0.281,0.006,0,"17","IFNG-AS1"
"CHPF",0,0.397284601761174,0.301,0.008,0,"17","CHPF"
"BHLHE41",0,0.388488584381265,0.284,0.005,0,"17","BHLHE41"
"SLC25A4",0,0.361293640639035,0.306,0.017,0,"17","SLC25A4"
"RP11-16E12.2",0,0.358829782877676,0.284,0.002,0,"17","RP11-16E12.2"
"IGF1",0,0.336461272307492,0.208,0.003,0,"17","IGF1"
"GLDC",0,0.334705890117039,0.221,0,0,"17","GLDC"
"COL4A4",0,0.314338069615655,0.254,0.003,0,"17","COL4A4"
"FUT8",7.69479837892004e-296,0.60211390355517,0.47,0.048,2.16908671503377e-291,"17","FUT8"
"CD591",5.42606356030166e-285,1.11431407466844,0.617,0.088,1.52955305701343e-280,"17","CD59"
"BLK1",1.39573726137481e-278,0.32121983241127,0.265,0.017,3.93444376608945e-274,"17","BLK"
"RP11-81H14.2",1.44603627454933e-269,0.348157839419014,0.309,0.023,4.0762316543271e-265,"17","RP11-81H14.2"
"IFI27L1",1.34248767595078e-265,0.386360835259438,0.314,0.024,3.78433850973767e-261,"17","IFI27L1"
"RASGRP3",1.07102709134043e-261,0.534748834630863,0.333,0.028,3.01911826777954e-257,"17","RASGRP3"
"PLPP51",7.84522984818018e-254,0.791118566314668,0.587,0.085,2.21149184190351e-249,"17","PLPP5"
"ISG202",1.07409684138924e-251,2.26295271533246,0.811,0.212,3.02777158619213e-247,"17","ISG20"
"RAB301",3.20817741862907e-250,0.461921661255629,0.374,0.036,9.04353132537348e-246,"17","RAB30"
"SLAMF71",3.60876406262847e-250,1.14412632288471,0.615,0.098,1.01727450161434e-245,"17","SLAMF7"
"BLNK2",1.68186396152897e-227,0.378016714388243,0.344,0.033,4.74100632115401e-223,"17","BLNK"
"IGKC2",7.39701847391605e-223,9.20331642733161,0.732,0.185,2.0851455376122e-218,"17","IGKC"
"IGLC21",9.13167001649309e-223,8.16666439672861,0.505,0.074,2.57412646094924e-218,"17","IGLC2"
"LMAN11",4.29624768475435e-222,1.84995343770186,0.738,0.18,1.2110692598554e-217,"17","LMAN1"
"SEC11C1",5.32559382426434e-221,2.75551907375929,0.79,0.242,1.50123164312187e-216,"17","SEC11C"
"P2RX51",7.41626059930244e-211,0.39399155773263,0.29,0.026,2.09056970033736e-206,"17","P2RX5"
"ATP8B2",7.72064187840302e-203,0.381535993027838,0.342,0.036,2.17637173910303e-198,"17","ATP8B2"
"PRDX4",2.15201001911642e-196,1.15969673785723,0.626,0.126,6.06630104288726e-192,"17","PRDX4"
"MEI1",3.15189130677927e-195,0.42789639617907,0.402,0.05,8.88486640468007e-191,"17","MEI1"
"PRDM11",5.11682723011469e-195,0.988610973502588,0.585,0.107,1.44238242789703e-190,"17","PRDM1"
"GMPPB",2.58354117541314e-187,0.539099850184612,0.418,0.057,7.2827442193721e-183,"17","GMPPB"
"TIFA",4.18705912054924e-186,0.410221547933106,0.402,0.052,1.18029009549162e-181,"17","TIFA"
